
time 00h 01m 00s, episodes 266, steps 0.2 M, mean_epr 1.20, run_loss -5.65
time 02h 12m 01s, episodes 25388, steps 27.9 M, mean_epr 30.43, run_loss -44.98

	28M steps: saved model

time 02h 13m 01s, episodes 25448, steps 28.1 M, mean_epr 31.18, run_loss -45.26
time 02h 14m 01s, episodes 25512, steps 28.3 M, mean_epr 30.88, run_loss -45.37
time 02h 15m 01s, episodes 25572, steps 28.5 M, mean_epr 30.65, run_loss -45.38
time 02h 16m 01s, episodes 25634, steps 28.8 M, mean_epr 30.73, run_loss -44.78
time 02h 17m 01s, episodes 25691, steps 29.0 M, mean_epr 31.32, run_loss -46.34
time 02h 18m 01s, episodes 25751, steps 29.2 M, mean_epr 32.50, run_loss -46.91
time 02h 19m 01s, episodes 25802, steps 29.4 M, mean_epr 35.93, run_loss -49.54
time 02h 20m 01s, episodes 25860, steps 29.6 M, mean_epr 38.40, run_loss -48.21
time 02h 21m 01s, episodes 25912, steps 29.9 M, mean_epr 40.68, run_loss -50.93

	30M steps: saved model

time 02h 22m 01s, episodes 25974, steps 30.1 M, mean_epr 36.93, run_loss -49.48
time 02h 23m 01s, episodes 26030, steps 30.3 M, mean_epr 35.56, run_loss -48.20
time 02h 24m 01s, episodes 26088, steps 30.5 M, mean_epr 37.42, run_loss -47.33
time 02h 25m 01s, episodes 26142, steps 30.7 M, mean_epr 38.60, run_loss -50.18
time 02h 26m 01s, episodes 26197, steps 30.9 M, mean_epr 37.93, run_loss -50.12
time 02h 27m 01s, episodes 26248, steps 31.2 M, mean_epr 39.11, run_loss -51.20
time 02h 28m 01s, episodes 26301, steps 31.4 M, mean_epr 40.51, run_loss -52.75
time 02h 29m 02s, episodes 26357, steps 31.6 M, mean_epr 39.34, run_loss -52.51
time 02h 30m 02s, episodes 26409, steps 31.8 M, mean_epr 39.33, run_loss -51.96

	32M steps: saved model

time 02h 31m 02s, episodes 26458, steps 32.0 M, mean_epr 43.22, run_loss -54.16
time 02h 32m 02s, episodes 26506, steps 32.3 M, mean_epr 46.81, run_loss -55.02
time 02h 33m 02s, episodes 26556, steps 32.5 M, mean_epr 47.99, run_loss -55.92
time 02h 34m 02s, episodes 26602, steps 32.7 M, mean_epr 47.10, run_loss -55.03
time 02h 35m 02s, episodes 26657, steps 32.9 M, mean_epr 46.91, run_loss -55.40
time 02h 36m 02s, episodes 26702, steps 33.1 M, mean_epr 46.79, run_loss -56.54
time 02h 37m 02s, episodes 26749, steps 33.4 M, mean_epr 48.16, run_loss -57.39
time 02h 38m 02s, episodes 26800, steps 33.6 M, mean_epr 50.15, run_loss -57.00
time 02h 39m 02s, episodes 26850, steps 33.8 M, mean_epr 50.48, run_loss -57.88

	34M steps: saved model

time 02h 40m 02s, episodes 26895, steps 34.0 M, mean_epr 52.91, run_loss -56.67
time 02h 41m 02s, episodes 26944, steps 34.2 M, mean_epr 54.72, run_loss -54.94
time 02h 42m 02s, episodes 26988, steps 34.4 M, mean_epr 57.95, run_loss -56.30
time 02h 43m 02s, episodes 27033, steps 34.7 M, mean_epr 60.18, run_loss -55.47
time 02h 44m 02s, episodes 27079, steps 34.9 M, mean_epr 59.92, run_loss -58.57
time 02h 45m 02s, episodes 27127, steps 35.1 M, mean_epr 55.79, run_loss -58.41
time 02h 46m 02s, episodes 27176, steps 35.3 M, mean_epr 56.09, run_loss -58.35
time 02h 47m 02s, episodes 27223, steps 35.5 M, mean_epr 57.85, run_loss -57.98
time 02h 48m 02s, episodes 27267, steps 35.8 M, mean_epr 58.58, run_loss -57.91
time 02h 49m 02s, episodes 27314, steps 36.0 M, mean_epr 59.00, run_loss -54.06

	36M steps: saved model

time 02h 50m 02s, episodes 27362, steps 36.2 M, mean_epr 60.44, run_loss -54.69
time 02h 51m 02s, episodes 27408, steps 36.4 M, mean_epr 59.72, run_loss -56.50
time 02h 52m 02s, episodes 27455, steps 36.6 M, mean_epr 58.12, run_loss -57.13
time 02h 53m 02s, episodes 27503, steps 36.9 M, mean_epr 57.77, run_loss -57.57
time 02h 54m 02s, episodes 27547, steps 37.1 M, mean_epr 59.95, run_loss -55.95
time 02h 55m 02s, episodes 27587, steps 37.3 M, mean_epr 66.83, run_loss -57.89
time 02h 56m 02s, episodes 27627, steps 37.5 M, mean_epr 67.35, run_loss -61.68
time 02h 57m 02s, episodes 27674, steps 37.7 M, mean_epr 67.11, run_loss -59.54
time 02h 58m 02s, episodes 27723, steps 37.9 M, mean_epr 59.21, run_loss -58.80

	38M steps: saved model

time 02h 59m 02s, episodes 27764, steps 38.2 M, mean_epr 59.35, run_loss -58.53
time 03h 00m 02s, episodes 27816, steps 38.4 M, mean_epr 58.82, run_loss -56.52
time 03h 01m 02s, episodes 27867, steps 38.6 M, mean_epr 58.36, run_loss -56.92
time 03h 02m 02s, episodes 27904, steps 38.8 M, mean_epr 65.26, run_loss -57.63
time 03h 03m 02s, episodes 27946, steps 39.0 M, mean_epr 67.09, run_loss -59.29
time 03h 04m 02s, episodes 27985, steps 39.2 M, mean_epr 66.04, run_loss -61.06
time 03h 05m 02s, episodes 28027, steps 39.5 M, mean_epr 71.52, run_loss -60.56
time 03h 06m 02s, episodes 28069, steps 39.7 M, mean_epr 74.62, run_loss -60.37
time 03h 07m 02s, episodes 28113, steps 39.9 M, mean_epr 76.32, run_loss -60.88

	40M steps: saved model

time 03h 08m 02s, episodes 28155, steps 40.1 M, mean_epr 72.83, run_loss -59.45
time 03h 09m 02s, episodes 28199, steps 40.3 M, mean_epr 71.35, run_loss -60.19
time 03h 10m 02s, episodes 28241, steps 40.6 M, mean_epr 73.84, run_loss -58.88
time 03h 11m 02s, episodes 28285, steps 40.8 M, mean_epr 71.10, run_loss -57.25
time 03h 12m 02s, episodes 28329, steps 41.0 M, mean_epr 75.06, run_loss -56.34
time 03h 13m 02s, episodes 28369, steps 41.2 M, mean_epr 76.75, run_loss -57.26
time 03h 14m 02s, episodes 28412, steps 41.4 M, mean_epr 74.85, run_loss -60.02
time 03h 15m 02s, episodes 28455, steps 41.6 M, mean_epr 77.42, run_loss -58.46
time 03h 16m 02s, episodes 28494, steps 41.9 M, mean_epr 82.48, run_loss -57.70

	42M steps: saved model

time 03h 17m 02s, episodes 28534, steps 42.1 M, mean_epr 83.28, run_loss -57.66
time 03h 18m 02s, episodes 28574, steps 42.3 M, mean_epr 94.60, run_loss -51.31
time 03h 19m 02s, episodes 28616, steps 42.5 M, mean_epr 91.20, run_loss -52.86
time 03h 20m 02s, episodes 28658, steps 42.7 M, mean_epr 89.07, run_loss -56.54
time 03h 21m 02s, episodes 28694, steps 43.0 M, mean_epr 94.33, run_loss -52.95
time 03h 22m 02s, episodes 28731, steps 43.2 M, mean_epr 93.26, run_loss -53.43
time 03h 23m 02s, episodes 28774, steps 43.4 M, mean_epr 90.84, run_loss -58.21
time 03h 24m 02s, episodes 28810, steps 43.6 M, mean_epr 93.90, run_loss -57.09
time 03h 25m 02s, episodes 28849, steps 43.8 M, mean_epr 96.07, run_loss -59.75

	44M steps: saved model

time 03h 26m 02s, episodes 28888, steps 44.0 M, mean_epr 96.20, run_loss -57.87
time 03h 27m 02s, episodes 28927, steps 44.2 M, mean_epr 105.44, run_loss -51.49
time 03h 28m 02s, episodes 28968, steps 44.5 M, mean_epr 104.02, run_loss -52.03
time 03h 29m 02s, episodes 29010, steps 44.7 M, mean_epr 98.16, run_loss -52.42
time 03h 30m 02s, episodes 29048, steps 44.9 M, mean_epr 97.90, run_loss -53.36
time 03h 31m 02s, episodes 29092, steps 45.1 M, mean_epr 104.44, run_loss -45.64
time 03h 32m 02s, episodes 29132, steps 45.3 M, mean_epr 102.20, run_loss -51.05
time 03h 33m 02s, episodes 29169, steps 45.5 M, mean_epr 101.32, run_loss -51.20
time 03h 34m 02s, episodes 29208, steps 45.7 M, mean_epr 105.52, run_loss -53.60
time 03h 35m 02s, episodes 29243, steps 46.0 M, mean_epr 111.39, run_loss -55.85

	46M steps: saved model

time 03h 36m 02s, episodes 29276, steps 46.2 M, mean_epr 117.56, run_loss -55.97
time 03h 37m 02s, episodes 29317, steps 46.4 M, mean_epr 116.46, run_loss -53.42
time 03h 38m 02s, episodes 29355, steps 46.6 M, mean_epr 106.86, run_loss -54.93
time 03h 39m 02s, episodes 29396, steps 46.8 M, mean_epr 107.59, run_loss -53.37
time 03h 40m 02s, episodes 29435, steps 47.0 M, mean_epr 103.59, run_loss -53.88
time 03h 41m 02s, episodes 29475, steps 47.2 M, mean_epr 99.37, run_loss -54.84
time 03h 42m 02s, episodes 29514, steps 47.5 M, mean_epr 113.81, run_loss -48.38
time 03h 43m 02s, episodes 29554, steps 47.7 M, mean_epr 105.26, run_loss -50.95
time 03h 44m 02s, episodes 29592, steps 47.9 M, mean_epr 110.75, run_loss -51.88

	48M steps: saved model

time 03h 45m 02s, episodes 29626, steps 48.1 M, mean_epr 115.16, run_loss -52.81
time 03h 46m 02s, episodes 29664, steps 48.3 M, mean_epr 121.23, run_loss -52.66
time 03h 47m 02s, episodes 29701, steps 48.5 M, mean_epr 124.26, run_loss -50.50
time 03h 48m 02s, episodes 29738, steps 48.7 M, mean_epr 132.68, run_loss -48.58
time 03h 49m 02s, episodes 29775, steps 49.0 M, mean_epr 129.26, run_loss -50.69
time 03h 50m 02s, episodes 29810, steps 49.2 M, mean_epr 120.35, run_loss -53.65
time 03h 51m 02s, episodes 29850, steps 49.4 M, mean_epr 121.43, run_loss -51.87
time 03h 52m 02s, episodes 29892, steps 49.6 M, mean_epr 119.23, run_loss -49.74
time 03h 53m 02s, episodes 29933, steps 49.8 M, mean_epr 115.34, run_loss -51.28

	50M steps: saved model

time 03h 54m 02s, episodes 29969, steps 50.0 M, mean_epr 116.19, run_loss -51.93
time 03h 55m 02s, episodes 30003, steps 50.2 M, mean_epr 117.44, run_loss -52.46
time 03h 56m 02s, episodes 30045, steps 50.4 M, mean_epr 120.96, run_loss -51.14
time 03h 57m 03s, episodes 30079, steps 50.7 M, mean_epr 123.87, run_loss -48.94
time 03h 58m 03s, episodes 30115, steps 50.9 M, mean_epr 126.09, run_loss -48.58
time 03h 59m 03s, episodes 30151, steps 51.1 M, mean_epr 117.43, run_loss -52.72
time 04h 00m 03s, episodes 30190, steps 51.3 M, mean_epr 120.18, run_loss -52.07
time 04h 01m 03s, episodes 30230, steps 51.5 M, mean_epr 118.75, run_loss -56.87
time 04h 02m 03s, episodes 30258, steps 51.7 M, mean_epr 127.00, run_loss -58.32
time 04h 03m 03s, episodes 30298, steps 51.9 M, mean_epr 125.93, run_loss -56.04

	52M steps: saved model

time 04h 04m 03s, episodes 30334, steps 52.1 M, mean_epr 115.07, run_loss -55.57
time 04h 05m 03s, episodes 30367, steps 52.3 M, mean_epr 117.32, run_loss -59.71
time 04h 06m 03s, episodes 30409, steps 52.5 M, mean_epr 116.95, run_loss -57.10
time 04h 07m 03s, episodes 30445, steps 52.8 M, mean_epr 119.86, run_loss -53.78
time 04h 08m 03s, episodes 30478, steps 53.0 M, mean_epr 127.60, run_loss -54.72
time 04h 09m 03s, episodes 30515, steps 53.2 M, mean_epr 128.57, run_loss -51.89
time 04h 10m 03s, episodes 30551, steps 53.4 M, mean_epr 123.05, run_loss -56.07
time 04h 11m 03s, episodes 30586, steps 53.6 M, mean_epr 127.08, run_loss -57.27
time 04h 12m 03s, episodes 30621, steps 53.8 M, mean_epr 131.51, run_loss -55.27

	54M steps: saved model

time 04h 13m 03s, episodes 30655, steps 54.0 M, mean_epr 131.15, run_loss -53.72
time 04h 14m 03s, episodes 30690, steps 54.2 M, mean_epr 132.66, run_loss -56.35
time 04h 15m 03s, episodes 30728, steps 54.4 M, mean_epr 128.44, run_loss -56.62
time 04h 16m 03s, episodes 30758, steps 54.6 M, mean_epr 133.27, run_loss -55.94
time 04h 17m 03s, episodes 30792, steps 54.8 M, mean_epr 141.64, run_loss -51.83
time 04h 18m 03s, episodes 30830, steps 55.0 M, mean_epr 135.92, run_loss -52.69
time 04h 19m 03s, episodes 30864, steps 55.2 M, mean_epr 129.89, run_loss -53.12
time 04h 20m 03s, episodes 30899, steps 55.4 M, mean_epr 131.11, run_loss -57.12
time 04h 21m 03s, episodes 30930, steps 55.6 M, mean_epr 134.91, run_loss -58.31
time 04h 22m 03s, episodes 30959, steps 55.8 M, mean_epr 142.26, run_loss -56.99
time 04h 23m 03s, episodes 30991, steps 56.0 M, mean_epr 136.52, run_loss -53.63

	56M steps: saved model

time 04h 24m 03s, episodes 31025, steps 56.2 M, mean_epr 134.04, run_loss -60.60
time 04h 25m 03s, episodes 31059, steps 56.4 M, mean_epr 143.13, run_loss -54.68
time 04h 26m 03s, episodes 31088, steps 56.6 M, mean_epr 152.17, run_loss -55.46
time 04h 27m 03s, episodes 31121, steps 56.8 M, mean_epr 155.21, run_loss -54.89
time 04h 28m 03s, episodes 31156, steps 57.0 M, mean_epr 145.26, run_loss -55.80
time 04h 29m 03s, episodes 31186, steps 57.1 M, mean_epr 152.77, run_loss -53.96
time 04h 30m 03s, episodes 31217, steps 57.3 M, mean_epr 146.55, run_loss -52.18
time 04h 31m 03s, episodes 31251, steps 57.5 M, mean_epr 134.39, run_loss -53.93
time 04h 32m 03s, episodes 31281, steps 57.7 M, mean_epr 137.81, run_loss -55.42
time 04h 33m 03s, episodes 31310, steps 57.9 M, mean_epr 145.53, run_loss -56.70

	58M steps: saved model

time 04h 34m 03s, episodes 31338, steps 58.1 M, mean_epr 161.50, run_loss -53.53
time 04h 35m 03s, episodes 31366, steps 58.3 M, mean_epr 155.28, run_loss -54.33
time 04h 36m 03s, episodes 31395, steps 58.4 M, mean_epr 176.93, run_loss -51.57
time 04h 37m 03s, episodes 31426, steps 58.6 M, mean_epr 184.01, run_loss -50.92
time 04h 38m 03s, episodes 31454, steps 58.8 M, mean_epr 175.90, run_loss -49.26
time 04h 39m 03s, episodes 31483, steps 59.0 M, mean_epr 194.09, run_loss -49.56
time 04h 40m 03s, episodes 31512, steps 59.2 M, mean_epr 178.63, run_loss -50.47
time 04h 41m 03s, episodes 31549, steps 59.4 M, mean_epr 165.85, run_loss -51.97
time 04h 42m 03s, episodes 31576, steps 59.6 M, mean_epr 165.02, run_loss -51.18
time 04h 43m 03s, episodes 31606, steps 59.8 M, mean_epr 163.51, run_loss -51.31
time 04h 44m 03s, episodes 31637, steps 59.9 M, mean_epr 160.64, run_loss -50.43

	60M steps: saved model

time 04h 45m 03s, episodes 31670, steps 60.1 M, mean_epr 165.18, run_loss -48.39
time 04h 46m 03s, episodes 31701, steps 60.3 M, mean_epr 159.28, run_loss -50.27
time 04h 47m 03s, episodes 31727, steps 60.5 M, mean_epr 166.06, run_loss -52.43
time 04h 48m 03s, episodes 31756, steps 60.7 M, mean_epr 172.91, run_loss -53.15
time 04h 49m 03s, episodes 31790, steps 60.9 M, mean_epr 153.24, run_loss -55.43
time 04h 50m 03s, episodes 31822, steps 61.1 M, mean_epr 156.03, run_loss -57.32
time 04h 51m 03s, episodes 31853, steps 61.2 M, mean_epr 155.24, run_loss -51.68
time 04h 52m 03s, episodes 31875, steps 61.4 M, mean_epr 159.38, run_loss -52.83
time 04h 53m 03s, episodes 31904, steps 61.6 M, mean_epr 170.55, run_loss -50.81
time 04h 54m 03s, episodes 31932, steps 61.8 M, mean_epr 160.86, run_loss -51.53
time 04h 55m 03s, episodes 31964, steps 62.0 M, mean_epr 158.71, run_loss -55.62

	62M steps: saved model

